StationName,LocationID,isValid
北京市监测站,1,TRUE
天津市监测站,2,TRUE
河北省监测站,3,TRUE
山西省监测站,4,TRUE
内蒙古自治区监测站,5,TRUE
辽宁省监测站,6,TRUE
吉林省监测站,7,TRUE
黑龙江省监测站,8,TRUE
上海市监测站,9,TRUE
江苏省监测站,10,TRUE
浙江省监测站,11,TRUE
安徽省监测站,12,TRUE
福建省监测站,13,TRUE
江西省监测站,14,TRUE
山东省监测站,15,TRUE
河南省监测站,16,TRUE
湖北省监测站,17,TRUE
湖南省监测站,18,TRUE
广东省监测站,19,TRUE
广西壮族自治区监测站,20,TRUE
海南省监测站,21,TRUE
重庆市监测站,22,TRUE
四川省监测站,23,TRUE
贵州省监测站,24,TRUE
云南省监测站,25,TRUE
西藏自治区监测站,26,TRUE
陕西省监测站,27,TRUE
甘肃省监测站,28,TRUE
青海省监测站,29,TRUE
宁夏回族自治区监测站,30,TRUE
新疆维吾尔自治区监测站,31,TRUE
